כותר,שם משפחה מחבר,שם פרטי מחבר,שנת פרסום,"מו""ל",מקום פרסום,מספר מערכת בקורפוס,מספר מילים,ראשית,סוג מסמך,קטגוריה,קורפוס
שדרוג סייסמי של מבני קירות באמצעות מרסנים ויסקוזיים בקומות בודדות,לבן,אורן,2014,המכון הלאומי לחקר הבנייה,חיפה,1200112,311,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שידרוג קירות מבטון מזוין בפני עומסי אימפקט וחיזוי תגובתם הדינמית בעזרת השימוש בשיטת האלמנטים הסופיים והבדידים,ג'בארין,מחמוד,2020,המכון הלאומי לחקר הבנייה,חיפה,1200113,303,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"שיטה ""רזה"" דינאמית וכמותית לתכנון פעולות להגברת הבטיחות בבנייה",זקס,רפאל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200114,591,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שיטה נומרית לשחזור אקסלרוגרמה בפן ביניים סלע-קרקע לפי אות תאוצה בפני הקרקע,ינקלבסקי,דוד,2015,המכון הלאומי לחקר הבנייה,חיפה,1200115,323,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שיטות לא הרסניות לזיהוי ואפיון נזקים של מבנים,גולדפלד,יסכה,2006,המכון הלאומי לחקר הבנייה,חיפה,1200116,312,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שיטת Lean Construction לפרויקטים של תשתיות ופיתוח,זקס,רפאל,2020,המכון הלאומי לחקר הבנייה,חיפה,1200117,19336,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
שילוב רכיבים טרומיים בבנייה למגורים פתרונות טכנולוגיים והכדאיות הכלכלית,רוזנפלד,יחיאל,2006,המכון הלאומי לחקר הבנייה,חיפה,1200118,1068,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"שימוש באגרגטים בעלי תכולת חרסית גבוהה לייצור בטון, שלב א'",לריאנובסקי,פבל,2015,המכון הלאומי לחקר הבנייה,חיפה,1200119,10788,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
"שימוש באגרגטים בעלי תכולת חרסית גבוהה לייצור בטון, שלב ב': ניסויים לאימות המודל",דנציגר,אברהם,2018,המכון הלאומי לחקר הבנייה,חיפה,1200120,673,Born digital,"דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שימוש בחומרים אינרטיים ממוחזרים לבנייה,באום,הדסה,2005,המכון הלאומי לחקר הבנייה,חיפה,1200121,666,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שימוש במרכיבים טרומיים לבנייה מוגנת - (מרחבים מוגנים) - שלב ב',ינקלבסקי,דוד,2008,המכון הלאומי לחקר הבנייה,חיפה,1200122,16225,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
שימוש ברכיבים טרומיים לבנייה מוגנת (מרחבים מוגנים): שיקולים וניסויים ראשוניים,ינקלבסקי,דוד,2005,המכון הלאומי לחקר הבנייה,חיפה,1200123,579,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"שימוש בשיטת חישוב ללא רשת לבחינת התנהגות חללים תת קרקעיים בתווך סלע, שלב א'",אנטיס,מרק,2008,המכון הלאומי לחקר הבנייה,חיפה,1200124,249,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"שימוש בשיטת חישוב ללא רשת לבחינת התנהגות חללים תת קרקעיים בתוך סלע, שלב ב'",אנטיס,מרק,2010,המכון הלאומי לחקר הבנייה,חיפה,1200125,118,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שיפור האטימות וההידבקות בהפסקות יציקה באמצעות דבקים פולימרים,פוטרמן,משה,2006,המכון הלאומי לחקר הבנייה,חיפה,1200126,404,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"שיפור התחרותיות של רכיבים מתועשים בבנייה ע""י תכן באמצעות מידול מידע בניין ממוחשב",זקס,רפאל,2007,המכון הלאומי לחקר הבנייה,חיפה,1200127,1129,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
שיפור תפקוד וקיים של בטונים באמצעות ננו-תוספים מינרלים חרסיתיים,ורסמן,רינה,2009,המכון הלאומי לחקר הבנייה,חיפה,1200128,4690,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
"תגובת פני הקרקע בפעולה דינאמית בסלע בסיס, שלב ב'",פלדגון,ולדימיר,2013,המכון הלאומי לחקר הבנייה,חיפה,1200129,194,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"תגובת פני הקרקע בפעולה דינמית בסלע הבסיס, שלב א'",פלדגון,ולדימיר,2008,המכון הלאומי לחקר הבנייה,חיפה,1200130,258,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
תגובת פני שכבת קרקע בפעולה דינאמית בסלע הבסיס,ינקלבסקי,דוד,2010,המכון הלאומי לחקר הבנייה,חיפה,1200131,435,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
"תגובת פני שכבת קרקע בפעולה דינאמית בסלע הבסיס, שלב ב'",פלדגון,ולדימיר,2010,המכון הלאומי לחקר הבנייה,חיפה,1200132,279,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
תחליף לחול טבעי כתשתית לעבודות ריצוף כולל בדיקות אקוסטיות,באום,הדסה,2008,המכון הלאומי לחקר הבנייה,חיפה,1200133,7967,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
"תיעוש הבנייה למגורים באמצעות יחידות מודולריות תלת ממדיות – היבטים אדריכליים, הנדסיים וביצועיים",בקר,רחל,2019,המכון הלאומי לחקר הבנייה,חיפה,1200134,75051,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
תכן מודלי אפקטיבי של מבני קירות אסימטריים,לבן,אורן,2015,המכון הלאומי לחקר הבנייה,חיפה,1200135,9720,Born digital,research,המכון הלאומי לחקר הבנייה,IIA
תכן רציונלי של קירות קרקע משוריינת תוך התחשבות באילוצים קינמטיים,קלר,אסף,2014,המכון הלאומי לחקר הבנייה,חיפה,1200136,336,Born digital,"תקציר דו""ח מחקר",המכון הלאומי לחקר הבנייה,IIA
הפקעות קרקע - זכויות היחיד מול צורכי הציבור - ההסדר בישראל במבט בינלאומי משווה,אורני,נירה,1995,המרכז לחקר העיר והאזור,חיפה,1300020,11255,Born digital,,המרכז לחקר העיר והאזור,IIA
שימוש במערכת ויזואליזציה חדשנית להערכת תפיסת בעלי העניין את שירותי המערכת האקולוגית ביערות הכרמל,אורנשטיין,דניאל ,,מוסד הטכניון למחקר ופיתוח,,1300035,10299,Born digital,,המרכז לחקר העיר והאזור,IIA
תכנית ימית לישראל - דוח שלב א'  - לקראת תכנון - מסמך בתפוצה פנימית לפני הפקה,אלתרמן,רחל,2014,המרכז לחקר העיר והאזור,חיפה,1300017,14254,Born digital,,המרכז לחקר העיר והאזור,IIA
אנרגיה מתחדשת מקורקעת - החסמים של רגולציה קרקעית ותיכנונית בישראל במבט השוואתי - דוח על מחקר  ,אלתרמן,רחל,2021,המרכז לחקר העיר והאזור,חיפה,1300013,15311,Born digital,,המרכז לחקר העיר והאזור,IIA
דיור בר השגה - גלים של תכנון סטטוטורי ומדיניות מקומית,אלתרמן,רחל,2012,המרכז לחקר העיר והאזור,חיפה,1300005,35416,Born digital,,המרכז לחקר העיר והאזור,IIA
הזכויות במקרקעין ובדיור בקיבוצים ובמושבים תובנות בעיקבות סקר עמדות והשוואה בין לאומית,אלתרמן,רחל,2019,המרכז לחקר העיר והאזור,חיפה,1300016,45631,Born digital,,המרכז לחקר העיר והאזור,IIA
החולייה החלשה - נספחי בינוי וחוק התכנון והבניה,אלתרמן,רחל,2009,המרכז לחקר העיר והאזור,חיפה,1300019,58787,Born digital,,המרכז לחקר העיר והאזור,IIA
השוואה בין מערכות של תכנון סטטוטורי במדינות נבחרות - חומר רקע להכנת חוק תכנון חרוש למדינת ישראל,אלתרמן,רחל,1990,המרכז לחקר העיר והאזור,חיפה,1300021,26333,Born digital,,המרכז לחקר העיר והאזור,IIA
השמירה על קרקע חקלאית מול לחצי העיור - האם ניתן ללמוד מניסיונן של מדינות אחרות,אלתרמן,רחל,1998,המרכז לחקר העיר והאזור,חיפה,1300022,16865,Born digital,,המרכז לחקר העיר והאזור,IIA
מדריך לחישוב הדרישות לקרקע לצורכי ציבור,אלתרמן,רחל,1991,המרכז לחקר העיר והאזור,חיפה,1300027,13114,Born digital,,המרכז לחקר העיר והאזור,IIA
מהפקעות ועד הסכמים דרכים חלופיות להשגת קרקע לצורכי ציבור,אלתרמן,רחל,1991,המרכז לחקר העיר והאזור,חיפה,1300029,32508,Born digital,,המרכז לחקר העיר והאזור,IIA
מיגדלים כושלים - בעיית התחזוקה ארוכת הטווח במיגדלי מגורים,אלתרמן,רחל,2009,המרכז לחקר העיר והאזור,חיפה,1300008,29534,Born digital,,המרכז לחקר העיר והאזור,IIA
פיצויים על ירידת ערך מקרקעין-עקב שינוי תוכנית,אלתרמן,רחל,1992,המרכז לחקר העיר והאזור,חיפה,1300033,39767,Born digital,,המרכז לחקר העיר והאזור,IIA
צפיפות הבנייה למגורים - מדריך להגברת יעילות הניצול של קרקע עירונית,אלתרמן,רחל,1998,המרכז לחקר העיר והאזור,חיפה,1300002,38611,Born digital,,המרכז לחקר העיר והאזור,IIA
"הון חברתי - משמעותו, מדידתו והקשרים בינו לבין תכנון עירוני",אמויאל,עינת ,2011,המרכז לחקר העיר והאזור,חיפה,1300018,7779,Born digital,,המרכז לחקר העיר והאזור,IIA
ישראל 100-תכנון אסטרטגי לישראל לקראת 2048-דוח שלב ב'-כלי התכנון,אסיף ,שמאי ,2019,המרכז לחקר העיר והאזור,חיפה,1300011,31168,Born digital,,המרכז לחקר העיר והאזור,IIA
תכנית ימית לישראל - דוח שלב ב' - חזון מטרות ואמצעי מדיניות שלדיים,אסיף ,שמאי ,2015,המרכז לחקר העיר והאזור,חיפה,1300012,4204,Born digital,,המרכז לחקר העיר והאזור,IIA
לגיטימציה של הסכמים עם יזמים,ארליך,חוה,2020,המרכז לחקר העיר והאזור,חיפה,1300025,28296,Born digital,,המרכז לחקר העיר והאזור,IIA
ג'נטריפיקציה בישראל - דחיקת דיירים בפרויקטים של פינוי בינוי,ברודקין,איריס,2022,המרכז לחקר העיר והאזור,חיפה,1300015,33814,Born digital,,המרכז לחקר העיר והאזור,IIA
בחינת יחסי הגומלין בין המועצה האזורית ליישוב הגדל מקרה יישובי גוש חבר,ברנע אמרגי,רחל,,המרכז לחקר העיר והאזור,חיפה,1300030,22378,Born digital,,המרכז לחקר העיר והאזור,IIA
מקונפליקט לשיתוף - זיהוי פוטנציאל ההתנגדויות הצפוי לתוכניות בנין עיר,דרוקמן,דורון,2010,המרכז לחקר העיר והאזור,חיפה,1300031,31895,Born digital,,המרכז לחקר העיר והאזור,IIA
התמודדות עם קונפליקטים בתכנון העירוני והאזורי - רקע תיאורטי ותוכנית למחקר,ורנסקי,אריאלה,1992,המרכז לחקר העיר והאזור,חיפה,1300023,6445,Born digital,,המרכז לחקר העיר והאזור,IIA
התחדשות עירונית 360 ,כלימור,תגית,2021,המרכז לחקר העיר והאזור,חיפה,1300003,37997,Born digital,,המרכז לחקר העיר והאזור,IIA
מדיניות השיכון של ישראל - חמישים שנים ראשונות,כרמון,נעמי,1998,המרכז לחקר העיר והאזור,חיפה,1300026,12474,Born digital,,המרכז לחקר העיר והאזור,IIA
שיקום שכונות בישראל - הערכת תוצאות,כרמון,נעמי,1989,המרכז לחקר העיר והאזור,חיפה,1300037,67201,Born digital,,המרכז לחקר העיר והאזור,IIA
פרסום פיתוח תרבות כמנוף לפיתוח עירוני - הניסיון הבינלאומי והמקרה של תל אביב,מולין,אלוירה ,2014,המרכז לחקר העיר והאזור,חיפה,1300034,49382,Born digital,,המרכז לחקר העיר והאזור,IIA
דיור בר השגה בישראל - היבטים משפטיים  ,מועלם,ניר,2013,המרכז לחקר העיר והאזור,חיפה,1300009,36850,Born digital,,המרכז לחקר העיר והאזור,IIA
"חוזרת מן המתים - תמא 38, לכידת ערך, ותפיסות בעלי עניין - מחקר הערכה",מועלם,ניר,2020,מכון לינקולן,חיפה,1300000,17343,Born digital,,המרכז לחקר העיר והאזור,IIA
תכנון לאורח חיים פעיל - אלמנטים סביבתיים המעודדים פעילות גופנית יום-יומית,מורן,מיקה,2013,המרכז לחקר העיר והאזור,חיפה,1300006,23574,Born digital,,המרכז לחקר העיר והאזור,IIA
המשמעות של צפיפות מגורים לאנשים - חלק ד' : משתנים תכנוניים והערכת הצפיפות,מטרני,מיכל,2006,המרכז לחקר העיר והאזור,חיפה,1300010,13777,Born digital,,המרכז לחקר העיר והאזור,IIA
מהיטלים ועד הסכמים - דרכים לשיתוף יזמים בנטל - פיתוח והקמה של מוסדות ושירותי ציבור,מרגלית,לירית,1998,המרכז לחקר העיר והאזור,חיפה,1300028,51929,Born digital,,המרכז לחקר העיר והאזור,IIA
"יערות, פארקים, אתרי נופש ופעילויות קקל כסביבות בריאות",פלאוט,פנינה,2015,המרכז לחקר העיר והאזור,חיפה,1300024,15480,Born digital,,המרכז לחקר העיר והאזור,IIA
תמורות בתכנון המרחב הכפרי - מפגשי חשיבה והשתלמות למתכננים - 2012 - לקט עבודות המשתתפים,פלאוט,פנינה,2013,המרכז לחקר העיר והאזור,חיפה,1300001,20168,Born digital,,המרכז לחקר העיר והאזור,IIA
התאמת התכנון המרחבי לקבוצות משנה באוכלוסיית ישראל,צ'רצ'מן ,ארזה,1993,המרכז לחקר העיר והאזור,חיפה,1300007,9323,Born digital,,המרכז לחקר העיר והאזור,IIA
סקר עמדות בנושאי מגורים בעיר תל אביב-יפו,צ'רצ'מן,ארזה,1998,המרכז לחקר העיר והאזור,חיפה,1300032,20010,Born digital,,המרכז לחקר העיר והאזור,IIA
שיקולים חברתיים בתכנון מרחבי,צ'רצ'מן,ארזה,2012,המרכז לחקר העיר והאזור,חיפה,1300036,13363,Born digital,,המרכז לחקר העיר והאזור,IIA
"בין מטרות ציבוריות למטלות פרטיות - הסכמים בין יזמים לרשויות התיכנון – הדוגמה
 של תל אביב",צוברי,אביבה ,2008,המרכז לחקר העיר והאזור,חיפה,1300014,35641,Born digital,,המרכז לחקר העיר והאזור,IIA
מגדלי יוקרה כקהילות מגודרות - המקרה של תל אביב ,שחר,ניר,2012,המרכז לחקר העיר והאזור,חיפה,1300004,24243,Born digital,,המרכז לחקר העיר והאזור,IIA
מחקר הערכה מסכם של פעילות פרויקט שיקום שכונות חברתי במועצות אזוריות - דוח מסכם,אופק,אברהם,2009,משרד הבינוי והשיכון,רמת השרון,1800077,38112,Born digital,summary report,משרד השיכון,IIA
בדיקת עמדות למגורים בבניינים משותפים בעיר סח'נין - דוח סיכום מחקר איכותי ,אותנתל אינסייט,,2010,משרד הבינוי והשיכון,,1800044,5263,Born digital,summary report,משרד השיכון,IIA
מודל תכנון וחיזוי לענף הבנייה למגורים בישראל,ERCG קב' מחקר וייעוץ כלכלי,,2002,משרד הבינוי והשיכון והלשכה מהרכזית לסטטיסטיקה,ירושלים,1800029,8773,Born digital,research,משרד השיכון,IIA
אמדן להיקף האוכלוסייה החרדית (נפשות ומשקי בית) ולצרכי הדיור השנתיים של המגזר לשנים 2008-2009,משרד הבינוי והשיכון,,2010,משרד הבינוי והשיכון,ירושלים,1800070,964,Born digital,summary report,משרד השיכון,IIA
ניתוח משווה - סקרי שוכרים ומשכירים יולי 1999,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,משרד הבינוי והשיכון,תל אביב,1800041,1869,Born digital,analytical report,משרד השיכון,IIA
סיכום ממצאים מסקר אוכלוסיות השוכרים,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,משרד הבינוי והשיכון,תל אביב,1800039,10605,Born digital,summary,משרד השיכון,IIA
סיכום ממצאים מסקר משכירי דירות,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,משרד הבינוי והשיכון,תל אביב,1800040,3022,Born digital,summary,משרד השיכון,IIA
שק הדיור בשכירות פרטית בישראל - תמצית הממצאים,"א.נ.פ אפלייד אקונומיקס בע""מ מחקר וייעוץ בכלכלה, שיווק מדעי החברה",,2000,משרד הבינוי והשיכון,תל אביב,1800042,5078,Born digital,summary,משרד השיכון,IIA
הדינמיקה של מחירי הדירות בישראל והשפעתה של מחירי הקרקעות ביבנה,אקשטיין,צבי,1999,,תל אביב,1800045,4763,Born digital,analytical report,משרד השיכון,IIA
היצע עבודה של עובדים ישראלים בענף הבנייה - טיוטא לדיון,אקשטיין,צבי,1999,משרד הבינוי והשיכון והלשכה מהרכזית לסטטיסטיקה,,1800025,4632,Born digital,research,משרד השיכון,IIA
השלכות משקיות של העסקת עובדים זרים בענף הבנייה - טיוטא לדיון 1.9.99,אקשטיין,צבי,1999,משרד הבינוי והשיכון והלשכה מהרכזית לסטטיסטיקה,,1800026,4712,Born digital,research,משרד השיכון,IIA
מודל מחירי דירות למגורים,אקשטיין,צבי,2001,משרד הבינוי והשיכון,תל אביב,1800037,4449,Born digital,research,משרד השיכון,IIA
שוק הדיור בשכירות בישראל,אקשטיין,צבי,2000,משרד הבינוי והשיכון,תל אביב,1800038,11145,Born digital,research,משרד השיכון,IIA
השפעת תכולת דקים בחול על תכונות מלטים לטיח,באום,הדסה,2008,משרד הבינוי והשיכון,חיפה,1800131,10878,Born digital,research,משרד השיכון,IIA
"הלוואות משכנתא בישראל כשלים בפירעונן - מימדי התופעה וגורמיה, המלצות לשינויים",בן שטרית,גילת,2006,משרד הבינוי והשיכון/המרכז לחקר העיר והאזור,חיפה,1800027,52334,Born digital,research,משרד השיכון,IIA
שידרוג קירות מבטון מזוין בפני עומסי אימפקט וחיזוי תגובתם הדינמית בעזרת השימוש בשיטת האלמנטים הסופיים והבדידים,ג'בארין,מחמוד,2020,משרד הבינוי והשיכון,חיפה,1800173,14915,Born digital,research,משרד השיכון,IIA
זיהוי נזקים במסגרות מרחביות תוך התבססות על מדידות דינמיות גלובאליות,גולדפלד,,2009,משרד הבינוי והשיכון,חיפה,1800142,5959,Born digital,research,משרד השיכון,IIA
דוח סופי בנושא - הכנת אומדנים ותחזיות לתמהיל גדלי דירות (חדרים ושטח) שנדרש לבנות במשק בתקופות שונות בעתיד,גייר,דיוויד,2002,,,1800048,22576,Born digital,analytical report,משרד השיכון,IIA
"בחינה הנדסית חישובית של הנחיות חיזוק מבנים קיימים תמ""א 38",גלוק,ניקולאי,2011,משרד הבינוי והשיכון,,1800091,12084,Born digital,research,משרד השיכון,IIA
סקר טכנולוגיות בנייה למגורים בישראל מבנים בבנייה בסוף 2002,קון,גרשון,2004,משרד הבינוי והשיכון והלשכה מהרכזית לסטטיסטיקה,ירושלים,1800024,2741,Born digital,Survey,משרד השיכון,IIA
הביקוש למגורים במגזר החרדי,דגני,אבי,2000,משרד הבינוי והשיכון,,1800034,19384,Born digital,research,משרד השיכון,IIA
"מאפייני שוק המגורים באשדוד, והמלצות למדיניות שיווק קרקעות ביישוב",דגני,אבי,2006,משרד הבינוי והשיכון,תל אביב,1800030,11679,Born digital,research,משרד השיכון,IIA
מאפייני שוק המגורים באשקלון והמלצות למדיניות שיווק קרקעות ביישוב,דגני,אבי,2007,משרד הבינוי והשיכון,תל אביב,1800031,10409,Born digital,research,משרד השיכון,IIA
מאפייני שוק המגורים בבאר שבע והמלצות למדיניות שיווק קרקעות ביישוב,דגני,אבי,2008,משרד הבינוי והשיכון,תל אביב,1800032,25855,Born digital,research,משרד השיכון,IIA
מאפייני שוק המגורים בביתר עילית והמלצות למדיניות שיווק הקרקעות ביישוב,דגני,אבי,2004,משרד הבינוי והשיכון,תל אביב,1800033,6099,Born digital,research,משרד השיכון,IIA
רכישת דירות בשיכון הציבורי - שביעות רצון והשפעה על רמת ההשקעה בדירה ובסביבה,דגני,אבי,2005,משרד הבינוי והשיכון,תל אביב,1800036,3518,Born digital,research,משרד השיכון,IIA
שוק הדיור בנצרת עילית חסמים והזדמנויות,דגני,אבי,2007,משרד הבינוי והשיכון,,1800066,5426,Born digital,summary,משרד השיכון,IIA
פיתוח מודל סיסמוטקטוני מודולרי לישום בהערכה של סיכונים סיסמיים בישראל,דיוויס,מיכאל,2014,משרד הבינוי והשיכון,רחובות,1800093,14385,Born digital,research,משרד השיכון,IIA
התנהגות סטטית בכפיפה של קורות מבטון עם מנת זיון נמוכה ועם סיבי פלדה,דנציגר,אברהם,2013,משרד הבינוי והשיכון,חיפה,1800109,4535,Born digital,research,משרד השיכון,IIA
רכיבי עלויות הבניה למגורים ומשקלם במחיר הדירה,"דקל, פז כלכלה והנדסה",,2015,משרד הבינוי והשיכון,חיפה,1800162,10701,Born digital,research,משרד השיכון,IIA
ניתוח עלות- תועלת של הצללה בישראל,המכללה האקמית תל חי,,,משרד הבינוי והשיכון,,1800178,4725,Born digital,research,משרד השיכון,IIA
שכונה 360 חוברת מקרי מבחן לתוכניות בהובלת משרד הבינוי והשיכון,הורוביץ הראל,ענת,2021,משרד הבינוי והשיכון,,1800015,14530,Born digital,research,משרד השיכון,IIA
"אפיון ליקויי בנייה לפי גורמים שורשיים: זיהוי גורמיהם, עיתוי יצירתם וחשיפתם, התפתחות עלויותיהם ותרופות לצמצומם",המכון הלאומי לחקר הבנייה,,2010,משרד הבינוי והשיכון,חיפה,1800150,15920,Born digital,research,משרד השיכון,IIA
גורמים שורשיים לחריגות בתקציב של פרוייקטי בנייה,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800120,20530,Born digital,research,משרד השיכון,IIA
גישה מקורבת להערכה יעילה של עמידות בנייני קומות בעומסים אופקיים שלב א',המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800123,30332,Born digital,research,משרד השיכון,IIA
הערכת הנזק שנגרם לאלמנטי מבנה מגורים טיפוסי מפצוץ פנימי שלב ב',המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800104,5146,Born digital,research,משרד השיכון,IIA
"על הפריון, 'KanBIM' השפעות מערכת הבטיחות ואיכות העבודה של צוותי עבודה ומנהלי העבודה ",המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800098,14909,Born digital,research,משרד השיכון,IIA
התנהגות סטטית של רכיבי מבנים מבטון בעל חוזק גבוה הכולל סיבים – שלב ב': עיגון בסמכים ומתיחה ישירה,המכון הלאומי לחקר הבנייה,,2009,משרד הבינוי והשיכון,חיפה,1800139,6993,Born digital,research,משרד השיכון,IIA
התנהגות של רכיבי בטון עם מנת זיון מינימלית ועם סיבי פלדה – שלב ב: ניסויים לאימות המודל,המכון הלאומי לחקר הבנייה,,2016,משרד הבינוי והשיכון,חיפה,1800160,6493,Born digital,research,משרד השיכון,IIA
התנהגות של רכיבי בטון עם מנת זיון מינימלית ועם סיבי פלדה – שלב א: מודל תיאורטי,המכון הלאומי לחקר הבנייה,,2013,משרד הבינוי והשיכון,חיפה,1800110,8993,Born digital,research,משרד השיכון,IIA
גורמים טכנולוגיים המשפיעים על חוזק החיבור של חיפוי חוץ קשיח והיבטי מכניקת השבר שלב א': חוזק הידבקות של חיפוי אריחי קרמיקה בקירות בטון,המכון הלאומי לחקר הבנייה,,2008,משרד הבינוי והשיכון,חיפה,1800130,14185,Born digital,research,משרד השיכון,IIA
"חומרים צמנטיים מרוכבים עם בדים לחיזוק, שיקום ותיקון מבנים",המכון הלאומי לחקר הבנייה,,2010,משרד הבינוי והשיכון,חיפה,1800149,10362,Born digital,research,משרד השיכון,IIA
חיזוי ההתנהגות של בטון בעומס דינמי באמצעות סימולציה ממוחשבת בשיטת האלמנטים הדיסקרטיים – שלב א ',המכון הלאומי לחקר הבנייה,,2010,משרד הבינוי והשיכון,חיפה,1800151,5396,Born digital,research,משרד השיכון,IIA
"חיזוק טבלות דו-כיווניות מבטון באמצעות חומרים מרוכבים: אנליזה, היבטים ייחודיים וסקירת תקינה",המכון הלאומי לחקר הבנייה,,2013,משרד הבינוי והשיכון,חיפה,1800112,18207,Born digital,research,משרד השיכון,IIA
חקירת התנהגות וכשל העיגון של מוטות פלדה בתווך של בטון בהעמסה מונוטונית ומחזורית,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800103,9951,Born digital,research,משרד השיכון,IIA
יחסי גומלין קרקע מבנה עקב חפירת מנהרות – ניסוח מתמטי של הבעיה,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800122,5100,Born digital,research,משרד השיכון,IIA
"כללים ובדיקות לבקרת איכות עצמית בבנייה, היבטים תפקודיים הנדסיים ואדריכליים שלב א'",המכון הלאומי לחקר הבנייה,,2010,משרד הבינוי והשיכון,חיפה,1800148,14834,Born digital,research,משרד השיכון,IIA
מידול תלת-ממדי של אתרי בנייה לניהול בטיחות עבודת עגורני צריח,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800100,21555,Born digital,research,משרד השיכון,IIA
ניתוח יחסים פיננסיים בחברות בנייה,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800119,11086,Born digital,research,משרד השיכון,IIA
עלויות אי איכות בבניה למגורים בישראל,המכון הלאומי לחקר הבנייה,,2004,משרד הבינוי והשיכון,חיפה,1800176,35607,Born digital,research,משרד השיכון,IIA
עמידות בנייה אזרחית רגילה בפני איומים מלחמתיים-שלב א',המכון הלאומי לחקר הבנייה,,2010,משרד הבינוי והשיכון,חיפה,1800152,40340,Born digital,research,משרד השיכון,IIA
עקרונות התכן של מבנים לעמידות בפני הדף פיצוץ,המכון הלאומי לחקר הבנייה,,2012,משרד הבינוי והשיכון,חיפה,1800114,54076,Born digital,research,משרד השיכון,IIA
עקרונות תכן אדריכלי מודע רעידות אדמה,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800124,62654,Born digital,research,משרד השיכון,IIA
"ריכוז הסיליקה המסיסה בבטון עם ובלי מוספים פוצולנים, והשפעתו על הפסיבציה של פלדת זיון",המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800107,6300,Born digital,research,משרד השיכון,IIA
שידרוג סיסמי של בנייני קומות קיימים בעלי שלד בטון מזוין באמצעות רכיבי פלדה מעוגנים,המכון הלאומי לחקר הבנייה,,2009,משרד הבינוי והשיכון,חיפה,1800140,12287,Born digital,research,משרד השיכון,IIA
שיפור יכולת המיחזור של פסולת בטון באמצעות אמולסיה פולימרית,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800121,8254,Born digital,research,משרד השיכון,IIA
שפיעת ראדון מבטונים המכילים אפר פחם,המכון הלאומי לחקר הבנייה,,2011,משרד הבינוי והשיכון,חיפה,1800106,23830,Born digital,research,משרד השיכון,IIA
תכנון בנייה בטוחה: הערכה וירטואלית של סכנות ובטיחות בבנייה בשלבי התכן,המכון הלאומי לחקר הבנייה,,2013,משרד הבינוי והשיכון,חיפה,1800111,12927,Born digital,research,משרד השיכון,IIA
קביעת קריטריונים לבדיקת יעילות האשפרה של בטון במבנה,ווסרמן,רינה,,,,1800079,8786,Born digital,research,משרד השיכון,IIA
